repo_fullname,commits_avg_added,commits_avg_files_changed,commits_avg_message_length,commits_avg_per_day_real,commits_avg_removed,commits_count,commits_days_since_first,commits_days_since_last,commits_max_per_day,commits_total_lines_added,commits_total_lines_removed,contributors_count,contributors_top_avg_additions,contributors_top_avg_commits,contributors_top_avg_deletions,contributors_top_avg_participation_week,forks_avg_max_per_day,forks_count,issues_avg_body_length,issues_avg_comment_length,issues_avg_comments,issues_avg_labels,issues_avg_per_day,issues_avg_per_day_real,issues_avg_title_length,issues_count,issues_labels,issues_max_per_day,issues_open,issues_total_comments,pulls_avg_body_length,pulls_avg_comments,pulls_avg_Commits,pulls_avg_created_per_day_real,pulls_avg_files_changed,pulls_avg_labels,pulls_avg_lines_added,pulls_avg_lines_removed,pulls_avg_review_comments,pulls_avg_title_length,pulls_count,pulls_max_created_per_day,pulls_total_lines_added,pulls_total_lines_removed,releases_avg_assets,releases_avg_assets_downloads,releases_avg_assets_size,releases_avg_body_length,releases_avg_title_length,releases_count,releases_tags,releases_total_downloads,repo_age_days,repo_branches,repo_deployments,repo_languages,repo_milestones,repo_network_members,repo_readme_length,repo_size,repo_topics,repo_watchers,repo_workflows,stars_avg_per_day_real,stars_count,stars_max_per_day,wf_avg_duration,wf_avg_fails_per_day,wf_avg_failure_duration,wf_avg_success_duration,wf_avg_successes_per_day_real,wf_count,labels
vin-ni/Google-Cloud-Speech-Node-Socket-Playground,483,2,30,2,141,47,1528,408,8,22692,6642,2,513,22,150,10,2,65,1179,219,3,0,0,1,36,26,12,1,4,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1528,1,0,4,0,66,2800,470,0,143,0,1,143,2,0,0,0,0,0,0,1
ViaVersion/ViaRewind,81,4,38,3,43,388,1536,35,24,31291,16875,17,112,11,61,5,2,58,1179,340,1,0,0,1,38,380,69,24,59,659,337,0,1,1,1,0,16,5,0,49,6,2,100,34,0,0,0,0,0,0,0,0,1536,4,0,1,0,61,509,913,1,147,1,1,147,2,0.036050347,0,0.00234375,0.033706597,1,4,0
retme7/CVE-2014-7911_poc,1,1,16,1,1,1,2621,2621,1,1,1,1,3,9,1,1,3,84,0,186,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2622,1,0,1,0,87,0,1870,0,146,0,1,146,11,0,0,0,0,0,0,1
legolas140/competitive-data-science-1,10,1,16,1,0,1,1414,1414,1,10,0,1,225,68,35,5,3,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1387,1,0,3,0,91,0,1130,0,149,0,0,0,0,0,0,0,0,0,0,1
1044197988/TF.Keras-Commonly-used-models,2,1,16,1,2,1,643,643,1,2,2,1,245,47,12,12,2,72,0,110,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1115,1,0,1,0,72,0,136,9,145,0,1,145,2,0,0,0,0,0,0,1
faizalshap/react-native-otp-verify,46,2,68,1,5,24,1264,49,3,1112,109,10,70,1,5,1,1,49,433,190,3,0,0,1,35,55,0,3,23,179,21,1,1,1,1,0,14,6,0,26,5,1,71,32,0,0,0,0,0,0,0,0,1264,1,0,2,0,56,2752,32,3,141,0,1,141,3,0,0,0,0,0,0,0
requirejs/example-jquery-cdn,1775,2,33,1,1077,47,3264,1313,3,83415,50607,4,2032,10,1233,7,2,56,152,214,1,0,0,1,39,11,0,1,1,21,157,1,1,1,1,0,2,2,0,63,1,1,2,2,0,0,0,0,0,0,0,0,3264,1,0,2,0,56,3381,1431,0,147,0,1,147,2,0,0,0,0,0,0,0
faustbrian-archive/laravel-commentable,0,1,55,1,0,1,825,825,1,0,0,11,17,4,4,2,2,50,0,289,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2265,2,0,1,0,54,0,82,2,141,0,1,141,3,0,0,0,0,0,0,1
micc83/editTable,60,2,19,6,22,36,3027,340,14,2162,778,1,67,34,35,6,1,60,443,322,1,0,0,1,36,12,1,2,3,19,260,2,7,1,3,0,369,228,1,48,3,1,1107,685,0,0,0,61,13,3,3,0,3027,2,3,2,0,60,3427,36,4,148,0,1,148,4,0,0,0,0,0,0,0
phodal/2md,1,1,16,1,1,1,153,153,1,1,1,1,104,22,7,3,2,52,0,36,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1810,2,0,3,0,52,0,489,0,143,0,1,143,7,0,0,0,0,0,0,1
yaodi833/trajectory2vec,2,1,16,1,3,1,1619,1619,1,2,3,1,8997,10,91,3,2,48,0,8270,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1978,1,0,1,0,51,0,578,0,144,0,1,144,2,0,0,0,0,0,0,1
lorenseanstewart/react-controlled-form-components,69,3,13,4,39,14,1984,1266,6,969,545,1,69,14,38,3,2,61,54,0,0,0,0,1,60,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1984,1,0,3,0,61,558,20,0,149,0,1,149,21,0,0,0,0,0,0,1
jishi/node-sonos-discovery,49,3,52,2,35,135,2259,1001,9,6642,4701,19,75,15,46,6,2,65,0,316,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4,4,0,3302,5,0,1,0,71,0,650,1,144,0,0,0,0,0,0,0,0,0,0,1
PolymerElements/neon-animation,7,1,122,1,7,1,877,877,1,7,7,32,79,6,64,3,0,0,0,226,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1,30,30,0,2519,18,0,2,0,99,9857,527,0,146,0,0,0,0,0,0,0,0,0,0,1
facebook/grocery-delivery,36,3,67,2,13,86,2766,46,6,3119,1078,17,43,2,16,2,3,61,420,380,1,0,0,1,31,63,37,4,4,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2766,2,0,2,0,62,8067,84,0,146,1,1,146,3,0.037737269,0,0.01416088,0.023576389,2,2,1
madhanganesh/taskpad,1864,12,24,1,170,16,1173,882,2,29830,2726,1,1897,16,203,8,2,52,54,27,0,0,0,2,49,20,0,9,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1173,1,0,4,0,52,1504,300,6,147,0,1,147,2,0,0,0,0,0,0,1
in3rsha/bitcoin-utxo-dump,50,2,54,2,15,41,1094,64,8,2030,600,5,51,7,15,2,3,76,455,472,2,0,0,1,36,35,0,2,1,101,216,0,1,1,1,0,4,1,0,61,1,1,4,1,0,0,0,0,0,0,0,0,1094,1,0,1,0,79,10691,478,0,149,0,1,149,3,0,0,0,0,0,0,0
danikf/tik4net,130,5,51,2,27,222,2420,100,10,28823,5998,11,141,16,31,5,1,84,416,258,2,0,0,1,39,85,1,3,9,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,128,1496928,396,15,2,2,256,2420,1,0,2,0,84,4121,559,9,141,0,1,141,2,0,0,0,0,0,0,1
phpnode/YiiRedis,93,3,45,2,5,50,3804,2728,5,4662,256,9,111,4,4,2,1,62,245,108,1,0,0,1,34,26,0,2,8,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3804,1,0,1,0,62,4398,453,0,142,0,1,142,26,0,0,0,0,0,0,1
huiyan-fe/BMapGLLib,10,2,20,1,6,1,2,2,1,10,6,6,255,7,29,3,2,70,0,114,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642,1,0,3,0,71,0,1633,0,148,0,1,148,3,0,0,0,0,0,0,1
CM2Walki/CSGO,8,1,54,2,5,89,1446,54,7,745,449,9,11,6,8,2,3,53,611,589,4,0,0,1,36,68,45,4,5,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1446,2,0,2,0,56,5604,424,9,148,0,1,148,3,0,0,0,0,0,0,1
RoyGuanyu/build-scripts-of-ffmpeg-x264-for-android-ndk,2,1,16,1,0,1,2203,2203,1,2,0,1,114,4,0,1,2,87,0,277,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2203,1,0,1,0,90,0,4,0,141,0,1,141,2,0,0,0,0,0,0,1
Jerady/fontawesomefx-glyphsbrowser,96,4,36,3,31,26,2059,1606,6,2492,815,1,38,2,6,1,2,52,469,400,2,0,0,1,33,15,0,1,13,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2059,3,0,2,0,52,580,1631,4,148,0,1,148,2,0,0,0,0,0,0,1
ArtemOnigiri/SimpleNN,105,3,35,2,1,6,730,727,3,631,8,2,155,2,1,1,2,72,311,161,1,0,0,1,25,10,0,3,2,14,24,0,1,1,1,0,1,0,0,17,1,1,1,0,0,0,0,0,0,0,0,0,730,1,0,1,0,73,0,9,0,142,0,1,142,7,0,0,0,0,0,0,0
